Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,R_0805_2012Metric,78.867,-97.5595,270,top
C2,10uF,C_1206_3216Metric,58.166,-54.102,90,top
C3,0.1u,C_0603_1608Metric,68.072,-97.536,270,top
C4,10n,R_0603_1608Metric,67.691,-58.928,270,top
C5,18pF,C_0603_1608Metric,193.548,-80.645,180,top
C6,0.1u,C_0603_1608Metric,140.081,-85.979,270,top
C7,0.1u,C_0603_1608Metric,128.905,-63.881,270,top
C8,0.1u,C_0603_1608Metric,193.802,-84.582,0,top
C9,0.1u,C_0603_1608Metric,193.802,-82.804,0,top
C10,0.1u,C_0603_1608Metric,169.291,-86.868,270,top
C11,10u,CP_EIA-3216-18_Kemet-A,175.895,-73.152,90,top
C12,1n,C_0603_1608Metric,151.13,-102.997,180,top
C13,1n,C_0603_1608Metric,160.515,-103.378,0,top
C14,10n,C_0603_1608Metric,193.802,-89.789,0,top
C15,0.1u,C_0603_1608Metric,102.997,-69.342,0,top
C16,0.1u,C_0603_1608Metric,172.326,-88.011,0,top
C17,0.1u,C_0603_1608Metric,110.617,-67.056,0,top
C18,0.1u,C_0603_1608Metric,111.76,-91.948,270,top
C19,0.1u,C_0603_1608Metric,120.904,-66.929,270,top
C20,0.1u,C_0603_1608Metric,104.775,-91.313,0,top
C21,0.1u,C_0603_1608Metric,88.519,-78.994,270,top
C22,1n,C_0603_1608Metric,140.589,-95.631,0,top
C23,1n,C_0603_1608Metric,131.318,-95.631,180,top
C24,0.1u,C_0603_1608Metric,122.555,-66.929,270,top
C26,20pf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,134.5935,-76.327,0,top
C27,0.1u,C_0603_1608Metric,130.937,-63.881,270,top
C28,0.1u,C_0603_1608Metric,140.589,-62.103,270,top
C29,0.1u,C_0603_1608Metric,110.617,-69.088,0,top
C30,10u,CP_EIA-3216-18_Kemet-A,114.173,-67.517,270,top
C31,0.1u,C_0603_1608Metric,84.074,-46.482,90,top
C32,10n,R_0603_1608Metric,67.564,-87.122,270,top
C33,10uF,C_1206_3216Metric,57.912,-82.55,90,top
C34,0.1u,C_0603_1608Metric,65.913,-97.536,270,top
C35,220u,CP_Elec_8x10,59.055,-107.95,0,top
C36,10u,CP_EIA-3216-18_Kemet-A,60.706,-42.799,90,top
C37,10u,CP_EIA-3216-18_Kemet-A,60.579,-71.374,90,top
C38,22u,R_0805_2012Metric,148.463,-44.323,90,top
C39,18pF,C_0603_1608Metric,193.535,-74.295,0,top
C40,220u,CP_Elec_8x10,68.834,-42.926,0,top
C41,220u,CP_Elec_8x10,69.013,-72.136,0,top
C42,10u,CP_EIA-3216-18_Kemet-A,51.562,-105.918,90,top
C43,100n,C_0603_1608Metric,150.241,-44.45,90,top
C44,20pf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,135.636,-69.215,270,top
C45,47p,C_0603_1608Metric,151.892,-44.45,90,top
C46,100u,CP_EIA-3528-21_Kemet-B,155.9695,-35.433,180,top
C47,1u,C_0603_1608Metric,193.535,-70.993,0,top
